chrom	chromStart	chromEnd
chr6	21227341	21227460
chr2	86493621	86493760
chr19	40230421	40230580
chr10	125116801	125116940
chr9	137694924	137695043
chr16	53762521	53762660
chr3	12316821	12316940
chr1	3083521	3083640
chr2	20351081	20351200
chr6	20737981	20738120
chr1	19980841	19980940
chr10	113116481	113116600
chr16	53921441	53921540
chr1	65498521	65498640
chr8	19954801	19954900
chr5	96420981	96421120
chr2	86444041	86444140
chr11	43791981	43792080
chr16	49830821	49830960
chr5	96396021	96396160
chr9	19147861	19147960
chr3	195565801	195565900
chr1	65539481	65539620
chr8	17732021	17732120
chr1	3439781	3439880
chr11	47405521	47405620
chr3	12381621	12381720
chr16	53995581	53995720
chr6	21202221	21202320
chr16	53997321	53997480
chr19	40282801	40282900
chr14	53962001	53962120
chr2	86443961	86444080
chr5	96420441	96420600
chr16	49632401	49632520
chr6	20791741	20791880
chr8	17782301	17782420
chr7	74572601	74572700
chr2	135817681	135817800
chr1	65484341	65484500
chr5	96414741	96414880
chr10	113026761	113026880
chr16	49570261	49570380
chr19	44904421	44904580
chr4	184767661	184767760
chr6	20935281	20935400
chr10	124988261	124988360
chr16	86563041	86563140
chr16	53722161	53722280
chr4	23781841	23781960
chr1	3289621	3289760
chr1	65440401	65440540
chr6	20581301	20581480
chr3	12373801	12373920
chr6	20920901	20921000
chr16	53896841	53896940
chr16	54086501	54086600
chr1	3303301	3303420
chr6	20548021	20548140
chr16	53850361	53850540
chr6	20625381	20625480
chr2	20257721	20257820
chr2	20307241	20307380
chr9	19149861	19149960
chr4	23755121	23755220
chr2	20351181	20351340
chr9	136678804	136678903
chr7	155299881	155300020
chr16	19872421	19872520
chr5	96410361	96410460
chr2	226749501	226749600
chr4	184787561	184787660
chr16	53908101	53908220
chr4	23847081	23847180
chr19	40285321	40285420
chr12	109145901	109146000
chr10	125043301	125043440
chr22	38181721	38181820
chr3	12406681	12406780
chr2	20270061	20270200
chr1	3348861	3348960
chr15	89665381	89665500
chr12	109146441	109146560
chr6	20707321	20707480
chr1	65438061	65438200
chr8	19946081	19946200
chr6	20828881	20829060
chr6	20992581	20992680
chr6	21076001	21076120
chr6	21111581	21111680
chr6	21172701	21172800
chr6	21221721	21221860
chr10	124998241	124998360
chr10	125121741	125121840
chr11	75804041	75804200
chr9	137779124	137779223
chr16	54102201	54102320
chr7	74562381	74562480
chr8	17664621	17664720
chr3	12377001	12377140
chr1	3075641	3075760
chr16	49575681	49575780
chr3	12372421	12372540
chr16	53987041	53987140
chr6	21075161	21075260
chr16	53807081	53807240
chr16	53973841	53973940
chr2	226739061	226739160
chr2	226784701	226784800
chr15	89670601	89670700
chr15	89676781	89676900
chr1	3125261	3125420
chr10	113122501	113122620
chr4	140556601	140556700
chr6	21026661	21026800
chr10	125063721	125063820
chr16	53992941	53993120
chr3	12384221	12384360
chr6	20960881	20961020
chr16	49494721	49494860
chr4	98925161	98925300
chr2	20310781	20310900
chr16	49746181	49746280
chr15	89672321	89672420
chr1	3085681	3085780
chr16	53844701	53844800
chr6	20882961	20883080
chr2	26693461	26693620
chr2	26733601	26733740
chr2	86462401	86462520
chr16	49578441	49578540
chr12	39575321	39575440
chr11	43851181	43851280
chr16	49578541	49578680
chr16	49701061	49701160
chr16	49724521	49724640
chr8	19924881	19925000
chr3	9877341	9877440
chr8	17730701	17730820
chr5	96420821	96420940
chr11	816341	816440
chr3	12340321	12340440
chr1	3340541	3340640
chr19	40282641	40282760
chr8	17740181	17740300
chr10	113043941	113044040
chr9	137838284	137838403
chr16	49587041	49587140
chr6	20627021	20627120
chr1	3350481	3350600
chr1	3277121	3277220
chr3	195588201	195588300
chr9	19121341	19121500
chr10	125113921	125114040
chr8	17696361	17696460
chr16	49488721	49488860
chr2	26712181	26712300
chr17	7042421	7042560
chr4	140560001	140560100
chr17	4639861	4639960
chr6	20772221	20772340
chr10	35085801	35085920
chr1	65428101	65428220
chr8	17722721	17722820
chr10	113037421	113037540
chr16	49483761	49483860
chr14	53962081	53962180
chr2	26726901	26727020
chr16	49525221	49525320
chr6	20628601	20628700
chr10	125032501	125032600
chr16	53736121	53736220
chr1	65588481	65588600
chr3	12290521	12290620
chr1	156200720	156200839
chr22	32085641	32085740
chr9	136682244	136682363
chr1	3172501	3172620
chr8	17772521	17772660
chr16	49859321	49859420
chr12	109264881	109265000
chr16	53710381	53710480
chr16	53991521	53991620
chr1	65574141	65574260
chr4	23828341	23828440
chr6	20563041	20563180
chr6	21233761	21233880
chr4	140567541	140567640
chr3	12291801	12291920
chr11	75758181	75758280
chr8	17712621	17712720
chr17	7280561	7280660
chr10	113057201	113057300
chr4	1230801	1230900
chr1	3365861	3365960
chr10	113120721	113120820
chr11	43716121	43716220
chr12	21527161	21527260
chr4	184780681	184780780
chr4	23870521	23870660
chr16	54069181	54069280
chr1	65492921	65493020
chr11	75759601	75759720
chr6	21103521	21103620
chr3	12387881	12387980
chr2	226778461	226778560
chr16	49840861	49840960
chr3	12297881	12297980
chr12	109149501	109149620
chr4	184755221	184755340
chr16	53750601	53750720
chr4	23789941	23790040
chr15	89683241	89683340
chr12	109260281	109260380
chr6	20656381	20656500
chr6	20764321	20764460
chr6	20939121	20939220
chr6	21208601	21208720
chr3	12418621	12418760
chr2	20253561	20253660
chr19	44903041	44903160
chr16	49746781	49746880
chr4	184815481	184815580
chr12	109219521	109219640
chr6	20641021	20641140
chr6	21116981	21117080
chr6	21121361	21121460
chr6	21148501	21148600
chr8	27460141	27460260
chr10	125144261	125144360
chr7	74481061	74481160
chr11	43814201	43814300
chr1	3420641	3420740
chr12	21535561	21535660
chr6	20825241	20825340
chr11	75802141	75802240
chr1	65627941	65628040
chr8	17790341	17790440
chr19	4510341	4510440
chr19	4514001	4514100
chr16	49745181	49745340
chr4	99335601	99335700
chr16	49687701	49687820
chr12	39595801	39595920
chr6	21208301	21208400
chr4	54285541	54285640
chr6	20529541	20529640
chr6	20856481	20856600
chr6	20883841	20883940
chr6	21122141	21122240
chr8	27459481	27459580
chr10	125050381	125050500
chr10	125122921	125123020
chr10	125139021	125139120
chr16	53741061	53741180
chr16	54076701	54076800
chr2	226800781	226800880
chr2	86464601	86464700
chr1	65427761	65427860
chr8	17672761	17672860
chr5	96410081	96410180
chr9	19129421	19129520
chr19	4502121	4502240
chr3	12323961	12324060
chr4	23860681	23860800
chr1	3410941	3411060
chr17	1274901	1275000
chr16	49568221	49568320
chr16	49855641	49855740
chr1	65509741	65509840
chr6	21201401	21201500
chr3	186852841	186852940
chr4	184811321	184811420
chr6	21101681	21101820
chr8	27460681	27460800
chr9	137797664	137797803
chr16	53710441	53710540
chr16	54011221	54011320
chr2	226746681	226746780
chr2	226746741	226746840
chr2	135837661	135837760
chr19	42428641	42428760
chr8	17802021	17802140
chr3	12365521	12365640
chr1	3418441	3418560
chr2	20290981	20291080
chr10	113130681	113130780
chr16	49578101	49578200
chr22	32048741	32048840
chr10	125124481	125124600
chr8	17720561	17720660
chr6	20828761	20828860
chr9	137614764	137614863
chr16	54011161	54011260
chr11	43791381	43791480
chr8	17666061	17666160
chr4	23853681	23853780
chr1	3092941	3093040
chr1	3190641	3190740
chr1	3355021	3355120
chr17	7045761	7045860
chr10	112956901	112957000
chr10	113134161	113134260
chr4	184758141	184758240
chr10	113138901	113139000
chr1	65602601	65602720
chr16	53964701	53964800
chr16	54104901	54105000
chr2	20329601	20329720
chr6	21236381	21236480
chr8	17686441	17686540
chr4	184769481	184769580
chr16	49840441	49840540
chr6	21110901	21111000
chr16	53709361	53709460
chr16	53848001	53848100
chr16	19860401	19860500
chr8	17731801	17731900
chr10	113134101	113134200
chr16	54116061	54116160
chr2	26716661	26716760
chr8	17783841	17783940
chr3	12297081	12297240
chr10	113002061	113002160
chr16	49862201	49862300
chr12	109248921	109249020
chr6	20771521	20771620
chr6	20881961	20882060
chr8	27466301	27466400
chr4	1207081	1207180
chr1	32873761	32873860
chr2	86478901	86479020
chr5	96430181	96430280
chr15	89665221	89665320
chr16	49740801	49740900
chr19	40244101	40244200
chr10	124990261	124990360
chr6	21138141	21138240
chr1	3129961	3130060
chr1	3326281	3326380
chr16	56966241	56966340
chr12	21538501	21538600
chr6	20562341	20562440
chr12	39552361	39552460
chr16	56980441	56980540
chr19	42419821	42419920
chr1	3337161	3337260
chr2	26725361	26725460
chr16	49570801	49570900
chr19	44894161	44894260
chr6	21151901	21152000
chr9	19146421	19146520
chr3	12402201	12402300
chr16	49666221	49666320
chr4	184786341	184786440
chr6	20625221	20625320
chr10	125050001	125050100
chr10	125130581	125130680
chr4	98927121	98927220
chr7	74580141	74580240
chr8	17742941	17743040
chr5	96433701	96433820
chr4	140564341	140564440
chr1	65430521	65430620
chr4	54285981	54286080
chr6	21109001	21109100
chr16	86564241	86564340
chr16	54099481	54099580
chr17	1301041	1301140
